title,tokens,tokens_text,num_tokens,category,location,price_numeric
4 BHK House for Rent,"['bhk', 'house', 'rent']",bhk house rent,3,House,"Sanepa, Lalitpur",35000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",40000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Nakhipot, Lalitpur",60000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",25000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",27000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Gwarko, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",110000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hattiban, Lalitpur",32500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hattiban, Lalitpur",28000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",31000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Baneshwor, Kathmandu",40000000.0
House for Sale,"['house', 'sale']",house sale,2,House,"Tokha, Kathmandu",35000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",31500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Ochu Height, Lalitpur",29000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",42500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",46500000.0
Luxurious Villa  for Sale,"['luxurious', 'villa', 'sale']",luxurious villa sale,3,House,"Bhaisepati, Lalitpur",40000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Sanepa, Lalitpur",59500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Nakkhu, Lalitpur",39000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Setipakha, Lalitpur",32000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Setipakha, Lalitpur",32500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Sunakothi, Lalitpur",51500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Kalanki, Kathmandu",35000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Imadol, Lalitpur",32500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhangal , Kathmandu",32000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sukedhara, Kathmandu",55000000.0
House for Sale,"['house', 'sale']",house sale,2,House,"Setipakha, Lalitpur",23000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Chandragiri, Kathmandu",17000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",24000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Tikathali, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Tikathali, Lalitpur",22500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Lubhu, Lalitpur",18000000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",25000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Setipakha, Lalitpur",16500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",51000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",59900000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",32500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sudal, Bhaktapur",12700000.0
Bungalow House for Rent,"['bungalow', 'house', 'rent']",bungalow house rent,3,House,"Baluwatar, Kathmandu",22500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",61000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Hattiban, Lalitpur",36900000.0
3 BHK House at Civil Homes Phase V,"['bhk', 'house', 'civil', 'home', 'phase']",bhk house civil home phase,5,House,"Sunakothi, Lalitpur",23000000.0
Luxurious Villa for Sale,"['luxurious', 'villa', 'sale']",luxurious villa sale,3,House,"Budhanilkantha, Kathmandu",32000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Nil Barahi Mandir, Bhaktapur",15500000.0
Duplex House for Sale,"['duplex', 'house', 'sale']",duplex house sale,3,House,"Dhapasi, Kathmandu",42500000.0
Exquisite property for sale,"['exquisite', 'property', 'sale']",exquisite property sale,3,House,"Katyani Chowk, Kathmandu",65000000.0
Bungalow for Sale,"['bungalow', 'sale']",bungalow sale,2,House,"Gaurighat, Kathmandu",35000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",28000000.0
2 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Lubhu, Lalitpur",13300000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",16000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Harisiddhi, Lalitpur",25000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Harisiddhi, Lalitpur",28000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",39900000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",49900000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Lubhu, Lalitpur",17000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",42500000.0
 House For Sale,"['house', 'sale']",house sale,2,House,"Sanagaun, Lalitpur",17000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Balkot, Bhaktapur",52500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bageshwori, Bhaktapur",25000000.0
Duplex House for Sale,"['duplex', 'house', 'sale']",duplex house sale,3,House,"Bhangal , Kathmandu",32000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Tikathali, Lalitpur",25000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",23500000.0
 House for Rent,"['house', 'rent']",house rent,2,House,"Muhanpokhari, Kathmandu",20000000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Samakhusi, Kathmandu",39000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",33000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Chandol, Kathmandu",85000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Hepali Height, Kathmandu",60300000.0
House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",16500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",22500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hepali Height, Kathmandu",33000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Mandikhatar, Kathmandu",75000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bojepokhari, Lalitpur",28500000.0
Semi Furnished House for Sale,"['semi', 'furnished', 'house', 'sale']",semi furnished house sale,4,House,"Hattigaunda, Kathmandu",31500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Tikathali, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",23500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Thaiba, Lalitpur",29000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Tikathali, Lalitpur",25500000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",32500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",24500000.0
 House for Sale ,"['house', 'sale']",house sale,2,House,"Lasuntar, Kathmandu",25000000.0
 House for Rent,"['house', 'rent']",house rent,2,House,"Dhapakhel, Lalitpur",38800000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Khumaltar, Lalitpur",45000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",24000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",23000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",26500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Tikathali, Lalitpur",32000000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",29000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",34000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Nakkhu, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sanagaun, Lalitpur",16000000.0
Duplex House for Sale,"['duplex', 'house', 'sale']",duplex house sale,3,House,"Samakhushi chowk, Kathmandu",35500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Lubhu, Lalitpur",59000000.0
4 BHK House for Rent,"['bhk', 'house', 'rent']",bhk house rent,3,House,"Bhaisepati, Lalitpur",28500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Taukhel, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sundarbasti, Kathmandu",39000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Narayanthan , Kathmandu",42500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Katunje, Bhaktapur",34000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Dhapasi, Kathmandu",47500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sundarbasti, Kathmandu",34500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Nayapati, Kathmandu",29000000.0
 House for Rent,"['house', 'rent']",house rent,2,House,"Satdobato, Lalitpur",15000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Nakhipot, Lalitpur",42500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Khumaltar, Lalitpur",42000000.0
 House for Rent,"['house', 'rent']",house rent,2,House,"Basundhara, Kathmandu",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Jyotinagar, Kathmandu",29500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Kuleshwor, Kathmandu",45000000.0
4 BHK House for Rent,"['bhk', 'house', 'rent']",bhk house rent,3,House,"Bansbari, Kathmandu",21000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Khumaltar, Lalitpur",39000000.0
4 BHK House for Rent,"['bhk', 'house', 'rent']",bhk house rent,3,House,"Bhaisepati, Lalitpur",27500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Dhapasi, Kathmandu",46000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhangal , Kathmandu",24000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Mahadevtar, Kathmandu",60000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",38500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Pasikot, Kathmandu",28000000.0
 House for Rent,"['house', 'rent']",house rent,2,House,"Bhaisepati, Lalitpur",30000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",23000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Satdobato, Lalitpur",26000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",25500000.0
 Commercial house for Sale,"['commercial', 'house', 'sale']",commercial house sale,3,House,"Banasthali, Kathmandu",50000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hattigaunda, Kathmandu",33000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Phutung, Kathmandu",16000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Gurjudhara, Kathmandu",32500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Pasikot, Kathmandu",39000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Balkumari, Lalitpur",55000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",42500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Sitapaila, Kathmandu",35000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Balkhu, Kathmandu",37000000.0
 Commercial house on sale,"['commercial', 'house', 'sale']",commercial house sale,3,House,"Chandol, Kathmandu",72500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Tikathali, Lalitpur",28500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",36500000.0
 Duplex House for Sale,"['duplex', 'house', 'sale']",duplex house sale,3,House,"Grande Hospital, Kathmandu",33000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Hattigaunda, Kathmandu",62500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hattigaunda, Kathmandu",75000000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",35000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Gwarko, Lalitpur",23500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Gwarko, Lalitpur",29500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",46500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",31500000.0
 House for Sale in land price,"['house', 'sale', 'land', 'price']",house sale land price,4,House,"Uttardhoka, Kathmandu",15000000.0
House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",22500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",19000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Satdobato, Lalitpur",31000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",43500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Gwarko, Lalitpur",22000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sitapaila, Kathmandu",55000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Gongabu, Kathmandu",60000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",28000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Ochu Height, Lalitpur",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Gwarko, Lalitpur",29500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Lubhu, Lalitpur",19500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Lalitpur, Lalitpur",27000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bhaisepati, Lalitpur",45000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Dhapasi, Kathmandu",22500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Golfutar, Kathmandu",26000000.0
House for Sale,"['house', 'sale']",house sale,2,House,"Dadhikot, Bhaktapur",33000000.0
3 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Harisiddhi, Lalitpur",27000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",22500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Mulpani, Kathmandu",16000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bafal, Kathmandu",47000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sanepa, Lalitpur",90000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Khumaltar, Lalitpur",65000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sitapaila, Kathmandu",23000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Lainchaur, Kathmandu",35000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Greenhill City, Kathmandu",27000000.0
Villa House for Sale,"['villa', 'house', 'sale']",villa house sale,3,House,"Sunakothi, Lalitpur",85000000.0
Villa House for Sale,"['villa', 'house', 'sale']",villa house sale,3,House,"Hattiban, Lalitpur",70000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hattiban, Lalitpur",35000000.0
 Commercial House for Sale,"['commercial', 'house', 'sale']",commercial house sale,3,House,"Kamalpokhari, Kathmandu",180000000.0
 Flat system house for Sale,"['flat', 'system', 'house', 'sale']",flat system house sale,4,House,"Lolang, Kathmandu",18000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Dhapakhel, Lalitpur",25000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Shantinagar, Kathmandu",45000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Dakshindhoka, Kathmandu",26000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",34500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",37500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Mhaipi, Kathmandu",42500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Dadhikot, Bhaktapur",30000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Mandikhatar, Kathmandu",65000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Pasikot, Kathmandu",30000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Lolang, Kathmandu",17500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Satungal, Kathmandu",29500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Dhapakhel, Lalitpur",43000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",45000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",26500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Greenland Chowk, Kathmandu",37500000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Bhaisepati, Lalitpur",150000000.0
 Modern house for Sale,"['modern', 'house', 'sale']",modern house sale,3,House,"Italitar, Kathmandu",105000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Tikathali, Lalitpur",25500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sanagaun, Lalitpur",22500000.0
5 BHK house for Sale at Balkumari,"['bhk', 'house', 'sale', 'balkumari']",bhk house sale balkumari,4,House,"Balkumari, Lalitpur",105000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Maharajgunj, Kathmandu",125000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Deuwa Chowk, Kathmandu",60000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Kageshwori, Kathmandu",16500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Budhanilkantha, Kathmandu",33500000.0
 House for Sale in Suryadarshan Height,"['house', 'sale', 'suryadarshan', 'height']",house sale suryadarshan height,4,House,"SuryadaRs.han Height, Kathmandu",35000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Wasik, Kathmandu",27500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Bojepokhari, Lalitpur",22500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Sanagaun, Lalitpur",28000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Imadol, Lalitpur",26000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Imadol, Lalitpur",28000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Old Baneshwor, Kathmandu",29000000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Deuwa chowk, Kathmandu",65000000.0
 Flat system house for Sale,"['flat', 'system', 'house', 'sale']",flat system house sale,4,House,"Thamel, Kathmandu",23000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Budhanilkantha, Kathmandu",57500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sitapaila, Kathmandu",50000000.0
 House for Sale in land price ,"['house', 'sale', 'land', 'price']",house sale land price,4,House,"Mid Baneshwor, Kathmandu",17500000.0
House on sale at Budhanilkantha ,"['house', 'sale', 'budhanilkantha']",house sale budhanilkantha,3,House,"Narayanthan , Kathmandu",55000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Hepali Height, Kathmandu",46500000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sanepa, Lalitpur",35000000.0
 Flat system House for Sale,"['flat', 'system', 'house', 'sale']",flat system house sale,4,House,"Old Baneshwor, Kathmandu",28000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Baluwatar, Kathmandu",76000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Manamaiju, Kathmandu",73500000.0
Newly built house on sale ,"['newly', 'built', 'house', 'sale']",newly built house sale,4,House,"Greenhill City, Kathmandu",23000000.0
Bungalow  for Sale,"['bungalow', 'sale']",bungalow sale,2,House,"Budhanilkantha, Kathmandu",39000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Sainbu, Lalitpur",35000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Thali, Kathmandu",16000000.0
Bungalow House for Sale,"['bungalow', 'house', 'sale']",bungalow house sale,3,House,"Balkot, Bhaktapur",28000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Pasikot, Kathmandu",22500000.0
4 BHK House for Sale,"['bhk', 'house', 'sale']",bhk house sale,3,House,"Bhaisepati, Lalitpur",29000000.0
 House for Sale,"['house', 'sale']",house sale,2,House,"Jyotinagar, Kathmandu",26500000.0
Flat system house for sale in land price at Bagdurbar,"['flat', 'system', 'house', 'sale', 'land', 'price', 'bagdurbar']",flat system house sale land price bagdurbar,7,House,"Bagdurbar, Kathmandu",30000000.0
